iter	Passed	Remaining
177	444	2052
178	447	2052
179	449	2046
180	451	2041
181	452	2035
182	454	2030
183	456	2025
184	458	2019
185	460	2013
186	462	2008
187	463	2003
188	465	1998
189	467	1992
190	469	1988
191	471	1984
192	473	1979
193	475	1975
194	477	1970
195	479	1964
196	480	1960
197	482	1955
198	484	1949
199	486	1944
200	488	1940
201	490	1937
202	492	1934
203	494	1929
204	496	1924
205	498	1920
206	500	1916
207	502	1911
208	504	1907
209	506	1904
210	508	1900
211	510	1896
212	512	1892
213	514	1888
214	515	1883
215	518	1880
216	520	1878
217	522	1874
218	524	1869
219	525	1864
220	527	1859
221	529	1854
222	530	1850
223	532	1845
224	534	1840
225	536	1839
226	538	1834
227	540	1830
228	542	1826
229	544	1821
230	545	1817
231	547	1812
232	549	1808
233	551	1806
234	553	1802
235	555	1797
236	557	1793
237	558	1789
238	560	1785
239	562	1780
240	564	1776
241	566	1774
242	568	1770
243	569	1765
244	571	1761
245	573	1758
246	575	1753
247	577	1749
248	578	1745
249	580	1742
250	582	1739
251	584	1735
252	586	1730
253	588	1727
254	590	1723
255	591	1719
256	593	1715
257	595	1711
258	597	1708
259	599	1705
260	600	1701
261	602	1698
262	604	1694
263	606	1691
264	608	1687
265	610	1684
266	612	1681
267	614	1677
268	615	1673
269	617	1670
270	619	1666
271	621	1663
272	623	1659
273	625	1656
274	627	1653
275	629	1650
276	630	1646
277	632	1643
278	634	1640
279	636	1636
280	638	1633
281	641	1633
282	643	1630
283	645	1626
284	647	1623
285	648	1620
286	650	1617
287	652	1613
288	654	1609
289	656	1607
290	658	1604
291	660	1600
292	662	1597
293	663	1594
294	665	1590
295	667	1587
296	669	1583
297	672	1583
298	674	1580
299	675	1577
300	677	1574
301	679	1571
302	681	1567
303	683	1564
304	685	1561
305	687	1559
306	689	1556
307	690	1552
308	692	1549
309	694	1545
310	696	1542
311	698	1539
312	700	1537
313	702	1533
314	703	1530
315	705	1527
316	707	1524
317	709	1521
318	711	1518
319	713	1515
320	715	1512
321	717	1509
322	718	1506
323	720	1503
324	722	1500
325	724	1497
326	726	1494
327	728	1492
328	730	1490
329	732	1487
330	734	1484
331	736	1482
332	738	1479
333	740	1477
334	742	1474
335	745	1472
336	747	1469
337	748	1466
338	751	1464
339	752	1461
340	754	1458
341	756	1456
342	758	1453
343	760	1450
344	762	1447
345	764	1445
346	766	1442
347	768	1439
348	770	1437
349	772	1434
350	775	1433
351	777	1431
352	779	1429
353	781	1426
354	783	1423
355	785	1421
356	787	1418
357	789	1416
358	792	1414
359	794	1411
360	795	1408
361	797	1406
362	799	1403
363	801	1401
364	803	1398
365	806	1396
366	808	1393
367	810	1391
368	812	1388
369	814	1386
370	816	1383
371	818	1381
372	821	1380
373	823	1377
374	825	1375
375	827	1372
376	829	1370
377	830	1367
378	832	1364
379	835	1363
380	837	1360
381	839	1358
382	841	1355
383	843	1352
384	845	1350
385	847	1347
386	849	1345
387	851	1343
388	853	1340
389	855	1338
390	857	1335
391	859	1332
392	861	1330
393	863	1327
394	865	1325
395	867	1323
396	869	1320
397	872	1319
398	874	1317
399	876	1314
400	880	1314
401	882	1312
402	884	1309
403	886	1307
404	888	1304
405	889	1301
406	891	1299
407	895	1298
408	896	1296
409	898	1293
410	900	1290
411	902	1288
412	904	1285
413	906	1283
414	909	1281
415	911	1279
416	913	1276
417	915	1274
418	917	1271
419	918	1269
420	920	1266
421	923	1264
422	925	1262
423	927	1260
424	929	1257
425	931	1254
426	933	1252
427	935	1249
428	936	1247
429	940	1246
430	942	1243
431	944	1241
432	945	1238
433	947	1236
434	949	1233
435	951	1230
436	954	1230
437	957	1227
438	958	1225
439	960	1222
440	962	1220
441	964	1217
442	966	1215
443	969	1213
444	971	1211
445	972	1208
446	974	1206
447	976	1203
448	978	1200
449	980	1198
450	982	1195
451	984	1193
452	986	1191
453	988	1188
454	990	1186
455	992	1183
456	994	1181
457	996	1179
458	1000	1179
459	1002	1177
460	1004	1174
461	1006	1171
462	1008	1169
463	1010	1166
464	1011	1164
465	1014	1162
466	1016	1159
467	1017	1157
468	1019	1154
469	1021	1151
470	1023	1149
471	1024	1146
472	1026	1144
473	1030	1143
474	1032	1140
475	1034	1138
476	1036	1136
477	1038	1134
478	1040	1131
479	1042	1128
480	1044	1127
481	1046	1124
482	1048	1122
483	1050	1119
484	1052	1117
485	1053	1114
486	1055	1112
487	1057	1109
488	1060	1108
489	1062	1105
490	1064	1103
491	1065	1100
492	1067	1098
493	1069	1095
494	1071	1093
495	1073	1091
496	1075	1088
497	1077	1086
498	1079	1083
499	1081	1081
500	1082	1078
501	1084	1076
502	1086	1073
503	1089	1072
504	1091	1069
505	1093	1067
506	1094	1064
507	1096	1062
508	1098	1059
509	1100	1057
510	1102	1054
511	1104	1052
512	1106	1050
513	1108	1048
514	1110	1045
515	1112	1043
516	1113	1040
517	1115	1038
518	1117	1035
519	1120	1033
520	1121	1031
521	1123	1029
522	1125	1026
523	1127	1024
524	1129	1021
525	1131	1019
526	1133	1017
527	1135	1015
528	1137	1012
529	1139	1010
530	1141	1008
531	1143	1005
532	1144	1003
533	1146	1000
534	1149	999
535	1151	996
536	1153	994
537	1155	992
538	1157	989
539	1159	987
540	1161	985
541	1163	983
542	1165	980
543	1167	978
544	1169	976
545	1171	973
546	1172	971
547	1174	969
548	1176	966
549	1179	964
550	1181	962
551	1183	960
552	1184	957
553	1186	955
554	1188	953
555	1190	950
556	1192	948
557	1194	946
558	1196	943
559	1198	941
560	1200	939
561	1202	937
562	1204	934
563	1206	932
564	1208	930
565	1210	927
566	1212	925
567	1213	923
568	1215	920
569	1217	918
570	1219	916
571	1221	913
572	1223	911
573	1225	909
574	1227	907
575	1229	904
576	1230	902
577	1232	900
578	1234	897
579	1236	895
580	1238	893
581	1240	891
582	1242	888
583	1244	886
584	1246	884
585	1248	881
586	1249	879
587	1251	877
588	1254	875
589	1256	872
590	1258	870
591	1259	868
592	1261	865
593	1263	863
594	1265	861
595	1267	858
596	1269	856
597	1271	854
598	1273	852
599	1274	849
600	1276	847
601	1278	845
602	1280	842
603	1282	840
604	1284	838
605	1286	836
606	1288	833
607	1289	831
608	1291	829
609	1293	826
610	1295	824
611	1297	822
612	1299	820
613	1301	818
614	1303	816
615	1305	813
616	1307	811
617	1309	809
618	1311	806
619	1313	805
620	1315	802
621	1317	800
622	1319	798
623	1320	795
624	1322	793
625	1324	791
626	1326	789
627	1329	787
628	1331	785
629	1333	783
630	1335	780
631	1336	778
632	1338	776
633	1340	773
634	1343	772
635	1345	770
636	1347	767
637	1349	765
638	1351	763
639	1353	761
640	1354	758
641	1356	756
642	1358	754
643	1360	752
644	1362	749
645	1364	747
646	1366	745
647	1368	743
648	1370	740
649	1371	738
650	1374	736
651	1376	734
652	1378	732
653	1380	730
654	1381	727
655	1383	725
656	1385	723
657	1387	721
658	1389	719
659	1391	716
660	1393	714
661	1395	712
662	1397	710
663	1399	707
664	1400	705
665	1403	703
666	1406	701
667	1407	699
668	1409	697
669	1411	695
670	1413	692
671	1415	690
672	1416	688
673	1419	686
674	1421	684
675	1423	682
676	1425	679
677	1426	677
678	1429	675
679	1430	673
680	1433	671
681	1435	669
682	1437	667
683	1438	664
684	1440	662
685	1442	660
686	1443	657
687	1445	655
688	1448	653
689	1450	651
690	1452	649
691	1454	647
692	1456	645
693	1458	643
694	1460	640
695	1463	639
696	1464	636
697	1466	634
698	1468	632
699	1470	630
700	1472	627
701	1473	625
702	1475	623
703	1478	621
704	1480	619
705	1482	617
706	1483	614
707	1485	612
708	1487	610
709	1489	608
710	1491	606
711	1494	604
712	1496	602
713	1497	600
714	1499	597
715	1501	595
716	1503	593
717	1505	591
718	1507	589
719	1509	587
720	1511	584
721	1513	582
722	1515	580
723	1517	578
724	1519	576
725	1520	574
726	1523	572
727	1525	570
728	1527	567
729	1529	565
730	1531	563
731	1533	561
732	1534	559
733	1536	556
734	1538	554
735	1540	552
736	1542	550
737	1544	548
738	1547	546
739	1549	544
740	1550	542
741	1553	540
742	1555	538
743	1557	535
744	1559	533
745	1561	531
746	1563	529
747	1565	527
748	1568	525
749	1570	523
750	1572	521
751	1574	519
752	1575	516
753	1577	514
754	1579	512
755	1581	510
756	1583	508
757	1585	506
758	1587	504
759	1589	501
760	1591	499
761	1592	497
762	1594	495
763	1597	493
764	1599	491
765	1600	489
766	1602	486
767	1604	484
768	1606	482
769	1608	480
770	1610	478
771	1612	476
772	1614	474
773	1616	472
774	1618	469
775	1620	467
776	1622	465
777	1624	463
778	1625	461
779	1629	459
780	1631	457
781	1633	455
782	1634	453
783	1636	450
784	1638	448
785	1640	446
786	1642	444
787	1644	442
788	1646	440
789	1647	438
790	1649	435
791	1651	433
792	1653	431
793	1654	429
794	1656	427
795	1658	425
796	1660	422
797	1662	420
798	1664	418
799	1666	416
800	1668	414
801	1670	412
802	1671	410
803	1674	408
804	1675	405
805	1677	403
806	1679	401
807	1681	399
808	1683	397
809	1684	395
810	1687	393
811	1689	391
812	1691	389
813	1693	386
814	1694	384
815	1696	382
816	1698	380
817	1700	378
818	1702	376
819	1704	374
820	1705	371
821	1707	369
822	1709	367
823	1711	365
824	1713	363
825	1714	361
826	1716	359
827	1719	357
828	1720	354
829	1722	352
830	1724	350
831	1726	348
832	1728	346
833	1729	344
834	1732	342
835	1734	340
836	1736	338
837	1737	335
838	1739	333
839	1741	331
840	1743	329
841	1745	327
842	1747	325
843	1749	323
844	1750	321
845	1752	319
846	1754	316
847	1756	314
848	1758	312
849	1759	310
850	1762	308
851	1764	306
852	1765	304
853	1767	302
854	1769	300
855	1771	297
856	1772	295
857	1774	293
858	1776	291
859	1778	289
860	1780	287
861	1782	285
862	1784	283
863	1785	281
864	1787	279
865	1789	276
866	1791	274
867	1793	272
868	1795	270
869	1796	268
870	1798	266
871	1800	264
872	1801	262
873	1803	260
874	1805	257
875	1807	255
876	1809	253
877	1811	251
878	1813	249
879	1815	247
880	1817	245
881	1819	243
882	1821	241
883	1823	239
884	1825	237
885	1827	235
886	1828	232
887	1830	230
888	1832	228
889	1834	226
890	1836	224
891	1838	222
892	1840	220
893	1842	218
894	1843	216
895	1845	214
896	1847	212
897	1848	210
898	1850	207
899	1853	205
900	1854	203
901	1856	201
902	1858	199
903	1859	197
904	1861	195
905	1863	193
906	1864	191
907	1867	189
908	1869	187
909	1871	185
910	1873	182
911	1874	180
912	1876	178
913	1878	176
914	1880	174
915	1882	172
916	1884	170
917	1886	168
918	1888	166
919	1889	164
920	1891	162
921	1893	160
922	1895	158
923	1897	156
924	1899	153
925	1900	151
926	1902	149
927	1904	147
928	1906	145
929	1907	143
930	1909	141
931	1911	139
932	1913	137
933	1915	135
934	1916	133
935	1918	131
936	1920	129
937	1922	127
938	1923	124
939	1925	122
940	1928	120
941	1929	118
942	1931	116
943	1933	114
944	1934	112
945	1936	110
946	1938	108
947	1940	106
948	1943	104
949	1945	102
950	1947	100
951	1949	98
952	1951	96
953	1953	94
954	1955	92
955	1958	90
956	1959	88
957	1961	85
958	1963	83
959	1964	81
960	1966	79
961	1968	77
962	1970	75
963	1972	73
964	1974	71
965	1976	69
966	1977	67
967	1979	65
968	1981	63
969	1983	61
970	1985	59
971	1987	57
972	1989	55
973	1990	53
974	1992	51
975	1994	49
976	1996	46
977	1997	44
978	1999	42
979	2002	40
980	2003	38
981	2005	36
982	2007	34
983	2009	32
984	2010	30
985	2012	28
986	2014	26
987	2016	24
988	2018	22
989	2020	20
990	2022	18
991	2024	16
992	2025	14
993	2027	12
994	2029	10
995	2031	8
996	2033	6
997	2035	4
998	2036	2
999	2038	0
